numSearches,avgCounts,maxCounts,maxDepth,avgMaxs,max,maxBoard,wins0,wins1,wins2,wins3,bestMove,board00,board01,board02,board03,board10,board11,board12,board13,board20,board21,board22,board23,board30,board31,board32,board33
250,72.28,271,7,158.6,512,128,0, 0.23, 0.05, 0.72,down,0, 0, 0, 0, 0, 0, 2, 8, 2, 16, 128, 4, 0, 4, 16, 4
233,66.52,217,7,148.79,512,128,0.59, 0.05, 0.04, 0.31,right,0, 2, 0, 0, 0, 0, 2, 0, 0, 16, 128, 8, 2, 4, 16, 8
250,68.05,212,8,151.97,256,128,0.64, 0.04, 0.13, 0.19,right,0, 0, 0, 2, 0, 2, 0, 2, 0, 16, 128, 8, 2, 4, 16, 8
245,66.05,202,7,150.89,256,128,0.67, 0.02, 0.1, 0.2,right,2, 0, 0, 2, 0, 0, 0, 4, 0, 16, 128, 8, 2, 4, 16, 8
251,65.67,183,8,152.89,256,128,0.02, 0.01, 0.17, 0.8,down,2, 0, 0, 4, 0, 0, 0, 4, 0, 16, 128, 8, 2, 4, 16, 8
252,68.65,197,8,154.31,256,128,0.58, 0.15, 0.02, 0.25,right,0, 0, 2, 0, 0, 0, 0, 0, 0, 16, 128, 8, 4, 4, 16, 16
244,69.62,177,9,153.6,256,128,0.04, 0.07, 0.74, 0.15,up,0, 2, 0, 2, 0, 0, 0, 0, 0, 16, 128, 8, 0, 0, 8, 32
241,71.26,173,7,157.62,256,128,0.39, 0.5, 0.06, 0.05,left,0, 2, 128, 2, 0, 16, 8, 8, 0, 0, 0, 32, 0, 0, 2, 0
236,67.83,183,7,154.46,256,128,0.63, 0.32, 0, 0.04,right,2, 128, 2, 2, 16, 16, 0, 0, 32, 0, 0, 0, 2, 0, 0, 0
246,65.15,173,6,150.8,256,128,0, 0.07, 0.7, 0.23,up,0, 2, 128, 4, 0, 0, 2, 32, 0, 0, 0, 32, 0, 0, 0, 2
254,62.84,183,7,152.09,256,128,0.16, 0.42, 0.31, 0.11,left,0, 2, 128, 4, 0, 0, 2, 64, 0, 0, 2, 2, 0, 0, 0, 0
261,66.45,177,6,156.34,256,128,0.12, 0.21, 0.53, 0.14,up,2, 128, 4, 0, 2, 64, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0
250,66.96,215,6,160.64,512,128,0.16, 0.16, 0.28, 0.41,down,4, 128, 4, 0, 4, 64, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0
249,65.05,189,6,157.18,256,128,0.05, 0.31, 0.23, 0.42,down,0, 0, 0, 0, 0, 128, 0, 2, 0, 64, 0, 0, 8, 2, 4, 2
254,67.11,228,7,159.62,512,128,0.4, 0.27, 0.19, 0.14,right,0, 0, 0, 0, 2, 128, 0, 0, 0, 64, 0, 0, 8, 2, 4, 4
248,61.01,197,7,157.82,256,128,0, 0.07, 0.13, 0.8,down,0, 0, 0, 0, 0, 0, 2, 128, 0, 0, 2, 64, 0, 8, 2, 8
266,64.07,185,6,161.56,256,128,0.55, 0.36, 0.05, 0.04,right,0, 0, 0, 0, 0, 0, 0, 128, 2, 0, 2, 64, 0, 8, 4, 8
257,59.62,222,7,156.28,512,128,0, 0.12, 0.58, 0.3,up,0, 0, 0, 2, 0, 0, 0, 128, 0, 0, 4, 64, 0, 8, 4, 8
271,61.2,165,6,159.06,256,128,0.3, 0.27, 0.26, 0.17,right,0, 8, 8, 2, 0, 0, 0, 128, 0, 2, 0, 64, 0, 0, 0, 8
266,56.36,184,7,151.01,256,128,0.21, 0.2, 0.42, 0.18,up,0, 0, 16, 2, 0, 0, 0, 128, 2, 0, 2, 64, 0, 0, 0, 8
280,59.24,155,8,159.89,256,128,0.46, 0.09, 0.28, 0.18,right,2, 0, 16, 2, 0, 0, 2, 128, 2, 0, 0, 64, 0, 0, 0, 8
272,57.97,258,9,158.01,512,128,0.04, 0.54, 0.14, 0.28,left,2, 2, 16, 2, 0, 0, 2, 128, 0, 0, 2, 64, 0, 0, 0, 8
276,58.41,165,9,158.96,256,128,0.02, 0.04, 0.77, 0.17,up,4, 16, 2, 0, 2, 128, 0, 0, 2, 64, 0, 2, 8, 0, 0, 0
274,57.4,181,8,156.86,256,128,0.02, 0.06, 0.19, 0.74,down,4, 16, 2, 2, 4, 128, 0, 0, 8, 64, 0, 0, 0, 0, 2, 0
277,57.99,222,7,164.37,512,128,0.09, 0, 0.5, 0.41,up,0, 0, 0, 0, 2, 16, 0, 0, 8, 128, 0, 0, 8, 64, 4, 2
276,54.89,172,9,161.27,256,128,0.97, 0, 0, 0.03,right,2, 16, 4, 2, 16, 128, 0, 0, 2, 64, 0, 0, 0, 0, 0, 0
285,56.61,153,10,166.04,256,128,0.79, 0.11, 0.08, 0.03,right,2, 16, 4, 2, 0, 0, 16, 128, 0, 2, 2, 64, 0, 0, 0, 0
280,54.18,187,10,161.71,512,128,0.02, 0.18, 0.67, 0.12,up,2, 16, 4, 2, 0, 0, 16, 128, 0, 0, 4, 64, 2, 0, 0, 0
287,56.22,170,8,167.11,256,128,0.05, 0.39, 0.05, 0.51,down,4, 16, 4, 2, 0, 0, 16, 128, 0, 0, 4, 64, 0, 2, 0, 0
281,54.41,162,8,163.4,256,128,0.47, 0.05, 0.16, 0.31,right,0, 0, 0, 2, 0, 0, 4, 2, 0, 16, 16, 128, 4, 2, 4, 64
286,57.6,191,7,169.03,256,128,0.03, 0.12, 0.4, 0.45,down,2, 0, 0, 2, 0, 0, 4, 2, 0, 0, 32, 128, 4, 2, 4, 64
277,53.19,228,8,164.83,512,128,0.07, 0.02, 0.71, 0.2,up,2, 0, 0, 0, 0, 0, 4, 4, 2, 0, 32, 128, 4, 2, 4, 64
290,54.64,155,7,168.03,256,128,0.18, 0.05, 0.12, 0.65,down,4, 2, 4, 4, 4, 0, 32, 128, 0, 0, 4, 64, 0, 0, 2, 0
286,52.95,267,9,169.48,512,128,0.7, 0.05, 0.16, 0.1,right,0, 2, 4, 0, 0, 0, 32, 4, 0, 0, 4, 128, 8, 2, 2, 64
291,53.37,154,8,169.64,256,128,0.25, 0.05, 0.09, 0.61,down,0, 0, 2, 4, 2, 0, 32, 4, 0, 0, 4, 128, 0, 8, 4, 64
289,51.06,161,7,169.93,256,128,0.33, 0.11, 0.13, 0.43,down,0, 0, 0, 0, 0, 0, 2, 8, 2, 0, 32, 128, 2, 8, 8, 64
